,collection_name,address,mean,median,std,count,borrow_volume
0,Art Blocks,0x059edd72cd353df5106d2b9cc5ab83a52287ac3a,11.74123152324633,9.0,7.15379612843092,147,1899193.4331000217
1,PudgyPresent,0x062e691c2054de82f28008a8ccc6d7a1c8ce060d,56.06729191393805,55.00202380952388,20.890286656073094,21,19114.977499999997
2,Cool Cats,0x1a92f7381b9f03921564a437210bb9396471050c,32.97431915114726,29.000000857142865,24.15330086359542,24,33709.1768110818
3,Cryptoadz,0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6,45.51020354069767,45.0000472508591,21.281872487227268,48,67486.94400000501
4,Valhalla,0x231d3559aa848bf10366fb9868590f01d34bf240,40.312706194908436,38.99378881987578,29.342869942384464,33,29141.02505890253
5,Moonbirds,0x23581767a106ae21c074b2276d25e5c3e136a68b,33.97608046056404,30.00000000000001,13.356912394797165,74,399615.26824999996
6,Land,0x2c88aa0956bc9813505d73575f653f69ada60923,41.51583319733468,39.98988666666681,14.463458566022723,55,400295.6133000039
7,BEANZ Official,0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949,32.85575978537696,32.99999999999995,21.62641880814384,107,239392.75903789926
8,Otherdeed for Otherside,0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,53.05090106024196,44.99999833333344,29.07200812623177,306,1605696.5790024053
9,Checks - VV Edition,0x34eebee6942d8def3c125458d1a86e0a897fd6f9,55.48936859494307,44.00277777777752,27.774411735296816,156,199307.95292668993
10,RENGA,0x394e3d3044fc89fcdd966d3cb35ac0b32b0cda91,49.19260192626644,47.4999999999994,25.070062260499366,125,173093.26982917121
11,The Potatoz,0x39ee2c7b3cb80254225884ca001f57118c8f21b6,41.368695500977054,40.2000000000001,14.127051871517605,101,357009.46105323895
12,0N1 Force,0x3bf2922f4520a8ba0c2efc3d2a1539678dad5e9d,45.02649071602695,39.99999960000007,37.46174706308521,22,16735.855419773998
13,CryptoDickbutts S3,0x42069abfe407c60cf4ae4112bedead391dba1cdb,40.34649425215632,39.00011481481487,11.47590079501041,199,433197.1313600044
14,NFTfi Locked Bundle,0x46c9cfb32627b74f91e0b5ad575c247aec7e7847,42.406538092707,40.00008928571392,16.257552356780536,58,444710.93300029915
15,CloneX,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,42.497347279022456,38.000009615384656,22.408565693651855,104,504433.3540590759
16,HV-MTL,0x4b15a9c28034dc83db40cd810001427d3bd7163d,47.785928279434955,49.00023611111112,19.307687991810997,89,286074.3770786344
17,LilPudgys,0x524cab2ec69124574082676e6f654a18df49a048,48.46217683718123,49.98712480252771,26.9517032555198,145,60662.97816754763
18,10KTF Gucci Grail,0x572e33ffa523865791ab1c26b42a86ac244df784,55.79962792810211,64.99999952380945,22.401698726226666,20,1558.462540012895
19,CyberKongz,0x57a204aa1042f6e66dd7730813f4024114d74f37,46.53080725445194,39.99000833333317,19.0102037490585,24,189616.8201410335
20,Ethereum Name Service (ENS),0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,32.83520953804967,25.00000015555553,29.266753563366066,57,36764.686991102804
21,Creepz by OVERLORD,0x5946aeaab44e65eb370ffaa6a7ef2218cff9b47d,54.218713952837575,49.99999999999996,16.963407230088606,219,369366.0292282028
22,Milady,0x5af0d9827e0c53e4799bb226655a1de152a425a5,42.70559448959294,28.99999993015866,24.0532266447042,29,78295.102460003
23,Otherside Vessels,0x5b1085136a811e55b2bb2ca1ea456ba82126a376,39.83403619962515,44.000750000000025,22.2187951220464,28,14097.831140000004
24,Sandbox's LANDs,0x5cc5b05a8a13e3fbdb0bb9fccd98d38e50f90c38,66.02753312022364,70.98798342732337,26.241600510914,141,120612.21724117755
25,MutantApeYachtClub,0x60e4d786628fea6478f785a6d7e704777c86a7c6,33.935206786033135,22.999999999999865,38.001037392880576,186,3017176.470605762
26,Opepen Edition,0x6339e5e072086621540d0362c4e3cea0d643e114,71.16396619780836,74.99999887755116,48.39970820665661,48,14514.067376509245
27,Art Blocks x Pace,0x64780ce53f6e966e18a22af13a2f97369580ec11,51.846175045314695,49.000049342105214,21.271214560752288,33,69078.50366777122
28,KILLABITS,0x64a1c0937728d8d2fa8cd81ef61a9c860b7362db,66.92695915601671,75.00131263126318,22.491254318268023,108,129649.16751919113
29,Nina's Super Cool World,0x670d4dd2e6badfbbd372d0d37e06cd2852754a04,61.38122288680776,69.00110294117647,20.56472659972451,47,11562.698599926345
30,The Captainz,0x769272677fab02575e84945f03eca517acc544cc,32.118504363858,25.000081874377457,31.00066470087854,142,1084539.0659853702
31,Otherdeed Expanded,0x790b2cf29ed4f310bf7641f013c65d4560d28371,41.63993647995168,46.499999999999886,15.149947176333539,66,122400.33738003705
32,,0x79986af15539de2db9a5086382daeda917a9cf0c,79.15122054542762,79.99847826086958,10.977818189714334,33,13032.577310760958
33,mfer,0x79fcdef22feed20eddacbb2587640e45491b757f,27.84837840778923,26.00000000000001,16.74109330802451,36,44932.23672000192
34,Meebits,0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,35.16107130429609,38.00000000000056,12.957542390024974,129,457812.98249622213
35,Murakami.Flowers Official,0x7d8820fa92eb1584636f4f5b8515b5476b75171a,58.550233401080625,50.00013333333334,35.31870019892174,26,22934.295147371722
36,CyberKongz VX,0x7ea3cca10668b8346aec0bf1844a49e995527c8b,54.43127077289869,41.999998921568725,20.52005551414658,82,31206.216500000803
37,Wolf Game,0x7f36182dee28c45de6072a34d29855bae76dbe2f,48.82332417414345,45.000589285713936,19.108258171414867,55,263458.81
38,Chimpers,0x80336ad7a747236ef41f47ed2c7641828a480baa,51.855458758274025,50.000437499999926,12.342086716094117,90,98901.61604000002
39,CyberBrokers,0x892848074ddea461a15f337250da3ce55580ca85,47.012789420646044,38.998511904762005,23.743578593949874,40,21358.901519029994
40,Doodles,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,47.46033441127034,39.00004722222222,33.599161653140165,143,775334.0274588761
41,Friendship Bracelets by Alexis André,0x942bc2d3e7a589fe5bd4a5c6ef9727dfd82f5c8a,38.48885818054773,19.00000000000015,27.18424445282839,778,313112.29081151
42,OnChainMonkey,0x960b7a6bcd451c9968473f7bbfd9be826efd549a,49.80463927437078,50.00013333333334,19.4663283452231,77,167232.15180000148
43,NFTfi Locked Bundle,0x9a129032f01eb4ddd764c1777c81b771c34a2fbe,51.50739970462123,49.99978571428608,25.226716660495573,60,1082608.2414850427
44,VeeFriends,0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb,32.778966782140756,30.00004523809524,16.489843751004514,40,155660.171654045
45,Art Blocks Curated,0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,42.71234675963504,38.99996031746032,23.250309169613207,521,2500071.953559003
46,Goblinverse Island,0xb268db1c8d033d27d85f9d0efe20082ebcda391d,76.95068300236619,77.99968888888887,20.258851428401982,310,267593.081811968
47,Wrapped Cryptopunks,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,9.152059434215017,8.999999991111192,4.3546026874015356,342,22037889.310144432
48,rektguy,0xb852c6b5892256c264cc2c888ea462189154d8d7,61.125012326728324,59.99951111111109,22.397649780683754,876,1166737.4728723923
49,Bored Ape Yacht Club,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,30.333792554074837,15.000000000000092,49.39416439176128,80,5385201.636549897
50,PudgyPenguins,0xbd3531da5cf5857e7cfaa92426877b022e612cf8,40.117258111307,35.00002380952381,19.374655417796077,248,1598249.8994342398
51,HUXLEY Robots,0xbeb1d3357cd525947b16a9f7a2b3d50b50b977bd,51.20575090373028,51.99999996666667,29.04854126874449,34,18008.637500006305
52,Async Blueprints,0xc143bbfcdbdbed6d454803804752a064a622c1f3,42.14565093505251,35.000002083333285,18.156684931741992,41,453773.67860003066
53,Elemental by Fang Lijun,0xc9677cd8e9652f1b1aadd3429769b0ef8d7a0425,64.38442663566488,75.00068131868136,26.77024475727136,26,17265.116820003284
54,KILLABEARS,0xc99c679c50033bbc5321eb88752e89a93e9e83c5,59.23382531872094,69.99998768472906,24.550698832222054,267,1184540.0880626685
55,FLUF,0xccc441ac31f02cd96c153db6fd5fe0a2f4e6a68d,37.130193614758454,34.99998518518518,20.08565947985304,87,171641.71267651042
56,MAX PAIN AND FRENS BY XCOPY,0xd1169e5349d1cb9941f3dcba135c8a4b9eacfdde,44.03849751494662,49.00003333333333,28.762160352373723,59,36693.241550000246
57,DigiDaigaku Genesis,0xd1258db6ac08eb0e625b75b371c023da478e94a9,33.80794832562575,33.00012558869683,14.63958625807865,87,548829.695023021
58,Autoglyphs,0xd4e4078ca3495de5b1d4db434bebc5a986197782,13.333439746926842,9.000000000000089,9.688351491032323,20,4243883.084601564
59,Nakamigos,0xd774557b647330c91bf44cfeab205095f7e6c367,65.15208190707666,78.99884259259261,48.45870170284918,98,46011.260581525275
60,Otherside Koda,0xe012baf811cf9c05c408e879c399960d1f305903,32.28740793635553,29.99995833333333,16.053281344707116,34,356943.0153000246
61,World Of Women,0xe785e82358879f061bc3dcac6f0444462d4b5330,48.6468282890184,48.99994642857151,26.940833915681115,104,191576.66254404729
62,Azuki,0xed5af388653567af2f388e6224dc7c4b3241c544,17.928549216645806,17.000000000000036,10.606860608885999,125,2345021.0009652493
63,World of Women Galaxy,0xf61f24c2d93bf2de187546b14425bf631f28d6dc,69.71209429208731,74.00037037037043,24.602931076976603,30,7580.590819159823
64,Cold Blooded Creepz,0xfe8c6d19365453d26af321d0e8c910428c23873f,65.79590995638858,58.999642857143,31.13531254698796,52,97520.45229357877
65,Bored Ape Kennel Club,0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,49.76369684319519,38.49997878787868,31.90305336690753,81,669697.9721838759
66,Ethlizards,0x16de9d750f4ac24226154c40980ef83d4d3fd4ad,83.38016562946163,89.99857142857138,17.493805593893377,21,15490.407000000003
67,Terraforms,0x4e1f41613c9084fdb9e34e11fae9412427480e56,26.424980508773828,24.000000269841088,10.683865950525975,59,108922.53020569381
68,Sewer Pass,0x764aeebcf425d56800ef2c84f2578689415a2daa,72.71729047408006,65.00000039285717,41.20868805304516,20,43288.87145618271
69,Art Blocks,0x99a9b7c1116f9ceeb1652de04d5969cce509b069,35.479439920915944,30.00000000000001,20.201935974184085,32,51523.62776
