name,all_time,past_month
Wrapped Cryptopunks,"$104,939,616.85","$11,719,793.85"
Bored Ape Yacht Club,"$77,166,093.84","$3,032,622.08"
MutantApeYachtClub,"$33,442,255.48","$1,377,688.90"
Art Blocks Curated,"$26,311,152.70","$728,181.61"
Doodles,"$18,291,345.23","$130,684.43"
Autoglyphs,"$17,659,041.39","$1,561,456.40"
Azuki,"$13,732,415.87","$624,127.45"
CloneX,"$11,741,250.84","$112,804.95"
Otherdeed for Otherside,"$11,403,783.38","$162,850.77"
World Of Women,"$10,767,043.24","$19,632.10"
Art Blocks,"$10,566,876.30","$1,039,278.97"
VeeFriends,"$8,441,605.92","$48,027.37"
Moonbirds,"$6,018,493.50","$68,421.22"
Sandbox's LANDs,"$4,969,821.87","$28,452.71"
CryptoDickbutts S3,"$3,931,920.76","$29,131.75"
Bored Ape Kennel Club,"$3,415,491.67","$173,559.95"
PudgyPenguins,"$3,342,308.16","$598,305.72"
Meebits,"$3,223,669.62","$206,731.93"
KILLABEARS,"$2,876,733.23","$265,218.89"
Cool Cats,"$2,866,279.27","$15,094.64"
FLUF,"$2,485,112.24","$39,285.94"
NFTfi Locked Bundle,"$2,473,114.87","$742,062.82"
rektguy,"$2,453,357.82","$150,365.72"
The Captainz,"$2,036,832.23","$1,236,685.33"
BEANZ Official,"$1,899,523.68","$79,631.58"
CyberKongz,"$1,881,349.38","$46,908.53"
DigiDaigaku Genesis,"$1,603,110.64","$53,454.48"
Friendship Bracelets by Alexis Andr,"$1,564,109.77","$13,834.77"
goblintown.wtf,"$1,539,158.89",$919.64
Cryptoadz,"$1,506,542.60","$39,570.28"
Ethereum Name Service (ENS),"$1,472,676.90","$15,007.85"
Async Blueprints,"$1,340,235.33","$133,720.71"
Hashmasks,"$1,253,768.77","$1,201.31"
Somnium Space Land,"$1,179,985.11","$5,561.20"
Beeple Round 2 Open Edition,"$1,114,078.78","$42,988.74"
FLUF World: Burrows,"$1,034,525.13","$25,238.05"
Neo Tokyo Citizen,"$1,011,021.28","$33,887.33"
DeadFellaz,"$905,095.26","$2,296.61"
Wolf Game,"$839,900.24","$98,068.10"
The Fungible by Pak,"$835,838.30","$4,164.82"
Decentraland,"$817,012.93","$10,617.03"
Land,"$795,361.97","$123,685.06"
Beeple Spring Collection,"$785,848.92","$16,247.29"
Deafbeef V2,"$782,618.32",
The GODA Mint Pass,"$710,341.55","$1,238.57"
Space Doodles,"$694,727.32","$2,228.89"
PROOF Collective,"$670,916.55",
CyberBrokers,"$667,532.60","$4,494.34"
RENGA,"$626,010.09","$28,050.76"
NFT Worlds,"$619,750.61","$3,905.17"
ASMBrain,"$585,140.73",$427.03
Psychedelics Anonymous Genesis,"$577,703.10",$302.20
The Potatoz,"$551,405.89","$187,092.42"
Invisible Friends,"$527,019.96","$6,006.27"
TheCurrency,"$508,193.01","$16,241.91"
Boss Beauties,"$504,018.39",
YOU THE REAL MVP,"$498,546.85","$46,055.80"
Otherside Koda,"$485,636.24","$231,709.44"
mfer,"$470,002.16","$25,479.90"
HV-MTL,"$460,320.40","$213,691.86"
Creepz by OVERLORD,"$442,389.95","$88,577.68"
Cold Blooded Creepz,"$430,612.40","$2,245.73"
MetaHero,"$408,098.13",$730.21
World of Women Galaxy,"$380,575.13",$648.38
0N1 Force,"$373,944.53","$54,364.79"
Chimpers,"$353,217.33","$18,562.96"
OSF,"$350,804.14","$20,217.29"
Goblinverse Island,"$342,561.49","$15,145.78"
WebbLand,"$311,260.48",$898.87
NFTrees,"$302,445.64","$33,446.48"
Terraforms,"$302,307.45","$65,052.10"
Async Art,"$299,361.61",
OnChainMonkey,"$291,875.06","$64,500.59"
Somnium Space VR,"$286,031.33",
Nouns,"$285,961.42",
Pulsquares,"$284,508.60",
Elemental by Fang Lijun,"$282,220.41","$8,534.12"
ForgottenRunesWizardsCult,"$279,066.55",$800.13
Quantum Art,"$257,589.87","$6,508.35"
Checks - VV Edition,"$255,598.82","$14,657.90"
Moonbirds Oddities,"$255,438.91",$676.68
SuperRare,"$251,712.71","$10,046.79"
Official MoonCats - Acclimated,"$236,508.07","$2,004.77"
RumbleKongLeague,"$224,283.79",$658.62
CryptoCubes,"$223,632.17","$7,725.15"
FVCK_CRYSTAL//,"$215,657.12",$736.17
Dooplicator,"$211,303.56",$164.74
Murakami.Flowers Official,"$210,101.84","$3,795.09"
Sewer Pass,"$204,110.14","$1,080.34"
0xmons,"$203,985.41",
Admit One,"$201,853.66","$6,687.34"
Art Blocks x Pace,"$187,266.59","$15,197.32"
Otherdeed Expanded,"$174,855.56","$47,520.71"
Lazy Lions,"$174,140.34",
Jadu Jetpack,"$173,908.90",
Llamaverse Genesis,"$172,625.51",$360.17
Capsule,"$165,087.11",$137.92
CyberKongz VX,"$164,698.79","$2,570.86"
Known Origin,"$163,881.98",
Light Years by Dmitri Cherniak,"$161,829.98","$30,795.88"
Flyfish Club,"$160,360.36","$5,003.14"
DystoPunks V2,"$157,712.08",$183.52
IKB Cachet de Garantie,"$149,227.51",
KILLABITS,"$147,029.77","$18,498.42"
SupDucks,"$144,833.48",
Smilesss,"$135,085.82",
Milady,"$135,029.97","$81,101.43"
Quirkies Originals,"$132,225.22",
DeGods,"$130,146.03","$13,343.12"
Akutars,"$124,864.62",$847.72
TRAITORS open edition by XCOPY,"$118,703.69",
CryptoSkulls,"$117,486.62",
Creature World,"$112,989.96",
Valhalla,"$112,118.51","$9,898.12"
Cool Pets,"$107,289.60",$100.05
BYOPills,"$106,701.10",
CryptoBonds,"$106,107.24",
MekaVerse,"$104,811.42",
Emblem Vault V2,"$102,281.05","$4,693.60"
Framergence,"$100,389.29",
3Landers,"$94,564.42",
Where My Vans Go,"$93,627.06","$26,421.84"
Jenkins the Valet,"$92,199.23",$44.82
Avid Lines,"$92,132.40",
PUNKS Comic,"$91,361.87",
MAX PAIN AND FRENS BY XCOPY,"$89,886.01","$33,009.42"
Karafuru,"$89,287.77",
Neo Tokyo: Outer Identities,"$87,423.40",
Mutant Garden Seeder,"$86,010.94",
Alpha Centauri Kid,"$84,580.51","$20,915.92"
My Pet Hooligan,"$83,077.86","$1,613.26"
Avastars,"$82,346.34",$74.52
QQL Mint Pass,"$80,690.35","$11,074.98"
HUXLEY Robots,"$78,994.46","$9,434.54"
Gutter Dogs,"$76,273.33",
BrainDrops,"$74,426.43","$8,635.18"
BYOLand,"$71,368.47",$146.00
alien frens,"$70,005.21",
LilPudgys,"$69,803.79","$15,972.07"
Ethlizards,"$69,339.61",$512.04
GenesisApostle,"$63,208.05",
Colorglyphs,"$61,635.91",
Revenants by Alethea AI,"$61,140.81",
Nakamigos,"$59,681.35","$7,419.97"
The Doge Pound,"$59,442.11",
Sappy Seals,"$58,854.32","$1,576.53"
Party Bears,"$57,374.34",$861.72
Robotos,"$55,539.00",
CryptoMories,"$54,167.21",
KaijuKingz,"$53,573.82",
Neo Tokyo: Identities,"$52,655.27",
,"$51,492.67","$11,689.08"
QXJ0IEJsb2NrcyBQdXJnYXRvcnk=,"$47,368.42","$8,455.34"
VOX Series 1,"$45,675.72",$326.64
Sneaky Vampire Syndicate,"$45,526.78",
Hedz by Matt Furie,"$45,452.68","$16,636.96"
Goons,"$43,928.91",
Nina's Super Cool World,"$43,901.06","$1,928.41"
"Hello, i'm Victor FEWOCiOUS And This is My Life!","$42,631.22","$14,470.51"
Illuminati,"$41,937.15",
CoolmansUniverse,"$41,900.97",
Quantum Key,"$39,849.40",
Impostors Genesis Aliens,"$39,267.42",
Neo Tokyo Part 2: Vault Cards,"$39,091.86",
Loot,"$38,347.04",
Treeverse,"$36,734.35",$285.87
Gutter Birds,"$36,503.90",
Somnium Space Items,"$36,011.90",
DigiDaigaku Heroes,"$35,873.17","$6,005.30"
V1 Cryptopunks (Wrapped),"$34,035.37","$4,005.04"
Farmer,"$33,678.68","$2,661.81"
Killer GF,"$33,358.28",
CryptoMotors,"$32,199.68",
RENGA Black Box,"$31,026.63","$1,067.09"
MoodRollers,"$28,083.43",
The Art of Seasons,"$26,925.24",
Metroverse City Block,"$25,690.28",
PeopleInThePlaceTheyLove,"$25,639.66","$1,109.85"
It's SCAM,"$25,079.27",
Opepen Edition,"$24,257.44","$9,577.01"
Project Godjira Gen 2,"$24,256.90",
Synthetic Dreams,"$24,045.12","$1,833.26"
PXN: Ghost Division,"$23,959.63",$371.39
Kanpai Pandas,"$22,338.72","$5,844.54"
lobsterdao,"$21,885.68",
Project Godjira Genesis,"$21,067.53",
PudgyPresent,"$20,411.69","$4,381.15"
Fabrica Land,"$20,060.70",
10KTF Gucci Grail,"$19,384.78","$5,640.49"
JRNY NFT Club,"$19,104.23",
VeeFriends Series 2,"$19,034.69",$987.70
SHIBOSHIS,"$18,278.01",$309.45
Letters,"$18,234.72",$368.35
RTFKT Animus Egg ,"$17,969.32","$1,963.09"
Blitmap,"$17,950.55","$1,437.42"
VOX Series 2,"$17,221.34",
6529 Gradient,"$16,821.02","$16,821.02"
Josie,"$16,562.17",
Otherside Vessels,"$15,865.84","$6,323.03"
Anonymice,"$14,419.87",
Fomo Dog,"$14,338.28","$1,672.23"
CryptoCitizens,"$14,257.15",
mcgoblin.wtf,"$13,710.52",
ZombieClub Token,"$13,449.74",$59.42
Nanopass,"$13,157.62",
Steady Stack Titans,"$13,041.14",
White Sands Parcel Pass,"$12,543.66",
Grails by PROOF,"$12,445.58",
Neo Tokyo Outer Citizen,"$11,993.08","$8,586.61"
Psychedelics Anonymous Psilocybin,"$11,853.43",
gmDAO Token v2,"$11,620.19",
Yakuza Pandas,"$11,169.36","$2,922.27"
Mad Dog Jones,"$10,970.43",
Grails by PROOF Collective,"$10,515.71",
Neo Tokyo Part 3 Item Caches,"$10,409.41",
LOVE Tennis Art Project by Martin Grasser,"$10,333.42",$690.61
Stoner Cats,"$9,416.66",$38.23
Wrapped CryptoCats,"$9,342.48",
RTFKT Capsule Space Drip 1.2,"$8,022.82",
Kubz,"$7,525.22","$4,352.72"
trevorjonesart,"$7,487.28",
Tigerbob NFT Genesis Collection,"$7,437.43",
Keungz Genesis,"$7,397.16","$7,397.16"
Pascal Boyart,"$7,321.86",
Hackatao On-Chain,"$7,314.30",
Ether Orcs Genesis,"$7,292.66",
Hackatao,"$7,257.06",
The Legend of CCKPUNCH,"$7,152.53",$456.40
Angry Ape Army,"$7,005.28",
CryptoNinja Partners,"$6,815.23",
The Collision by Pak x Trevor Jones,"$6,659.63","$1,449.72"
PREMINT Collector Pass - OFFICIAL,"$6,580.13",$73.96
WE ARE HERE by Hackatao,"$6,516.93",
HENI: Damien Hirst - The Empresses,"$6,344.03","$1,086.83"
Tribe Diamonds,"$6,316.41","$3,817.88"
Meta Bounty Hunters,"$6,298.61",
10KTF Kagami,"$5,829.04","$2,926.80"
Genesis Open Editions by Boss Logic,"$5,436.69",
IO: Imaginary Ones,"$5,112.23",
Neo Tokyo Outer Lands,"$4,834.66",
PROOF OF (ART)WORK,"$4,707.54",
DEGEN TOONZ COLLECTION,"$4,639.97",
Aavegotchi Ethereum,"$4,580.38",
FEWOCiOUS x RTFKT,"$4,348.08",
Neo Tokyo Part 4 Land Deeds,"$4,128.55",
Tom Sachs Rockets,"$3,868.60",
Anata,"$3,506.04",
Queens Open Edition by Hackatao,"$3,479.47",
Eternal Harmony,"$3,465.95",
Decentraland Names,"$3,389.50",
Plasma Bears,"$3,244.59",
LoudPunx,"$3,211.72",$914.69
JOYWORLD JOYtoys,"$3,021.71",
ForgottenSouls,"$3,019.04",$616.39
MadMeerkatBurrow,"$3,011.57",
ACAB,"$2,962.98",
Unstoppable Domains,"$2,927.56",$553.59
Gray Boys,"$2,888.94",
Mocaverse,"$2,879.10",
Crypto Coven,"$2,861.39",
BASTARD GAN PUNKS V2,"$2,832.66",
Rarible,"$2,757.29",$9.99
ASMAIFAAllStarsBoxSet,"$2,755.31",
a KID called BEAST,"$2,564.44",$644.73
Gods Unchained,"$2,532.79",$9.57
Prime Ape Planet,"$2,511.80",
Factura by Mathias Isaksen,"$2,470.48",$218.52
Art Gobblers,"$2,143.04",$488.55
Neo Tokyo Outer Item Caches,"$1,855.33",
SlimHoods,"$1,834.54",
Crash + Burn Open Edition by Mad Dog Jones,"$1,761.54",
"""""MOAR"""" by Joan Cornella","$1,635.17",
MurMurCats,"$1,502.02","$1,502.02"
Rings Genesis by Nick Kuder,"$1,432.34",
Relics Pass,"$1,348.57",
IlluminatiNFT by Truth Labs,"$1,347.39",$842.92
Squiggly,"$1,337.47",
SUPERPLASTIC: SUPERGUCCI,"$1,256.40",
Vegas City Land Lease,"$1,235.93",
Gambling Apes,"$1,224.12",
HAPE PRIME,"$1,209.07",$113.73
MarbleCards,"$1,160.42",
Mind the Gap by MountVitruvius,"$1,150.74",$366.10
Poolsuite Executive Member,"$1,149.09",
"CPG Pop: by """"Crypto Packaged"""" GOODS","$1,118.69",
The Blitnauts,"$1,010.31",
Solvency by Ezra Miller,$945.58,
Karma Monkey,$900.98,$900.98
JOYWORLD S2,$896.79,
SALT,$886.49,$886.49
DarkEchelon,$718.44,$718.44
The Wicked Craniums,$670.82,
PixelChain,$630.16,
MLB Champions,$545.70,
Lil Heroes,$531.68,
Momoguro: Holoself,$406.19,$95.27
10KTF,$355.31,$190.15
Based Ghouls,$164.21,$92.47
DCL Dappcraft Moonminer,$98.96,
Edenhorde,$95.32,
Impasto by M.J. Lindow,$92.30,$92.30
ASMAIFAAllStarsCharacter,$84.54,$18.47
Chain Runners,$56.53,$56.53
MCP Land,$5.17,
CryptoMorphMint,$0.39,
