collection_name,mean,median,std,count,borrow_volume
Art Blocks,15.889634374796094,9.0,13.873052373013984,183,1978361.1508600463
PudgyPresent,56.06729191393805,55.002023809523877,20.890286656073094,21,19114.977499999997
Cool Cats,35.261346385101355,29.995178571428411,26.264742543694965,25,36539.7771861938
Cryptoadz,45.510203540697667,45.0000472508591,21.281872487227268,48,67486.944000005009
Valhalla,42.508855598105917,47.9986370716511,29.144329715642023,36,32936.626958902532
Moonbirds,35.554227932672966,30.000161111111115,15.415595310333245,78,432419.82433999988
,76.20217221694061,79.998405385658728,16.1189563410831,37,83416.728475205979
Land,41.515833197334679,39.989886666666813,14.463458566022723,55,400295.61330000393
BEANZ Official,32.855759785376961,32.99999999999995,21.626418808143839,107,239392.75903789926
Otherdeed for Otherside,52.467906639415865,44.999998333333437,28.587891819271661,322,1696270.5166624056
Checks - VV Edition,55.66875492174308,44.002777777777517,27.751736750468972,159,205560.2409266899
RENGA,49.34433890524911,47.4999999999994,24.941887850506188,128,177188.17143126726
The Potatoz,41.368695500977054,40.2000000000001,14.127051871517605,101,357009.46105323895
0N1 Force,49.223333258675154,40.999999999999872,36.912154556921074,25,22551.69141977399
CryptoDickbutts S3,40.300739305440551,39.000094017094007,11.280920096572677,206,451559.6333600044
NFTfi Locked Bundle,47.083526588363206,47.001185185185165,21.600334362610543,120,1551319.1744853416
CloneX,50.6750655234976,49.000033333333327,21.841691124008189,164,939456.80492353812
HV-MTL,47.785928279434955,49.000236111111121,19.307687991810997,89,286074.3770786344
LilPudgys,48.462176837181232,49.98712480252771,26.9517032555198,145,60662.978167547633
10KTF Gucci Grail,55.799627928102112,64.99999952380945,22.401698726226666,20,1558.462540012895
CyberKongz,46.22075150577448,39.990008333333172,18.28049713624851,26,211201.83014103351
Ethereum Name Service (ENS),33.131170484711653,25.000000155555529,29.096325945038778,58,37752.5989911028
Creepz by OVERLORD,54.218713952837575,49.999999999999957,16.963407230088606,219,369366.02922820282
Milady,42.70559448959294,28.999999930158658,24.0532266447042,29,78295.102460003
Otherside Vessels,39.834036199625153,44.000750000000025,22.2187951220464,28,14097.831140000004
Sandbox's LANDs,66.027533120223637,70.987983427323371,26.241600510914,141,120612.21724117755
MutantApeYachtClub,33.814817365882107,23.00000000000021,36.693957842198238,201,3302901.6359651224
Opepen Edition,71.163966197808364,74.999998877551164,48.399708206656612,48,14514.067376509245
Art Blocks x Pace,51.846175045314695,49.000049342105214,21.271214560752288,33,69078.50366777122
KILLABITS,66.419165032180373,75.001312631263175,22.597049752280356,110,131350.33071919114
Nina's Super Cool World,60.606202997990565,68.9993137254902,20.2427522862928,51,12586.646999926348
The Captainz,32.118504363858,25.000081874377457,31.000664700878541,142,1084539.0659853702
Otherdeed Expanded,41.639936479951679,46.499999999999886,15.149947176333539,66,122400.33738003705
mfer,28.311947760131265,30.000000000000011,16.746052086454789,37,46609.590720001921
Meebits,35.103596322698017,38.000000000000561,12.877588142151591,133,473322.29099622217
Murakami.Flowers Official,57.64094846881413,50.000133333333338,34.953638279507963,27,23868.750547371725
CyberKongz VX,54.431270772898692,41.999998921568725,20.520055514146581,82,31206.216500000803
Wolf Game,49.901484274331416,47.999933333333331,19.264300997708606,58,267593.095
Chimpers,52.137836201989984,50.0005487804878,12.374279480735352,92,103182.56804000003
CyberBrokers,47.0856382784984,38.998511904762005,23.449545230891012,41,22099.232519029996
Doodles,51.05625594086893,39.000047222222221,35.115680433151461,157,885843.902458876
Friendship Bracelets by Alexis André,38.51068009485892,19.000000000000149,27.189779603939137,780,314010.53631150996
OnChainMonkey,49.804639274370778,50.000133333333338,19.4663283452231,77,167232.15180000148
VeeFriends,32.778966782140756,30.00004523809524,16.489843751004514,40,155660.171654045
Art Blocks Curated,42.482674361943104,38.0000784313726,23.27813511242914,541,2897292.4203439932
Akutars,50.671648959204177,50.000437500000011,25.396809598198153,24,5998.5094867011667
Goblinverse Island,77.158816570456565,77.999688888888869,20.31528931127335,313,270114.07135206804
Wrapped Cryptopunks,9.102317848707612,8.99999763888889,4.34387476740727,347,22436109.810144432
rektguy,61.000731324286988,59.99951111111109,22.29022009054847,905,1216350.6936909412
Bored Ape Yacht Club,30.282454130428491,15.000003499999851,46.394150167178374,91,6409391.8877998972
PudgyPenguins,39.816775666696223,35.000000000000739,19.424832629722477,254,1634932.1953196959
HUXLEY Robots,51.205750903730276,51.999999966666671,29.04854126874449,34,18008.637500006305
Async Blueprints,43.208644054352405,35.00002380952381,18.376138181177616,43,453773.67860003107
Elemental by Fang Lijun,64.38442663566488,75.000681318681359,26.77024475727136,26,17265.116820003284
KILLABEARS,59.312708704184281,69.000449735449862,24.509931078726311,270,1198771.2830626685
FLUF,37.355243707973209,34.999999999999957,19.67973941049339,91,184230.54667651039
MAX PAIN AND FRENS BY XCOPY,44.03849751494662,49.000033333333327,28.762160352373723,59,36693.241550000246
DigiDaigaku Genesis,33.807948325625752,33.000125588696832,14.63958625807865,87,548829.695023021
Autoglyphs,13.333439746926842,9.0000000000000888,9.6883514910323232,20,4243883.0846015643
Nakamigos,65.152081907076663,78.998842592592609,48.458701702849183,98,46011.260581525275
Otherside Koda,32.287407936355528,29.999958333333328,16.053281344707116,34,356943.01530002459
World Of Women,49.141389495869227,49.000064935064906,26.873025292161582,108,201550.9460440473
Azuki,18.885146661537075,17.999975,12.329925479424643,130,2451811.0919652497
World of Women Galaxy,68.480655103800487,74.000370370370433,26.898175830342581,33,9334.6078191598262
Cold Blooded Creepz,65.039119315628284,58.999642857143,29.101431463681536,61,116339.88845792876
Bored Ape Kennel Club,50.683806951799049,40.000000000000348,30.788367025297049,89,755607.74695615622
Ethlizards,83.380165629461629,89.998571428571381,17.493805593893377,21,15490.407000000003
Terraforms,26.424980508773828,24.000000269841088,10.683865950525975,59,108922.53020569381
Sewer Pass,72.667213426966342,65.999828428088378,38.438863586378318,23,51655.955456182695